id|url|date|renderedContent|hashtags|replyCount|retweetCount|likeCount
1608209311964053506|https://twitter.com/VigneronLudovic/status/1608209311964053506|2022-12-28 21:12:33+00:00|@LibrairieVO c'est pour cadeau à ma zouz elle aime The Picture of Dorian Gray ... oui c'est une ex gothique avec un chat twitter.com/LibrairieVO/st…||0|1|1
1607391315632787458|https://twitter.com/Kleopatre_/status/1607391315632787458|2022-12-26 15:02:08+00:00|@mvlcnt sauf pr se taper the picture of dorian gray plutôt clamser||2|0|3
1605677145908469761|https://twitter.com/nanavsak/status/1605677145908469761|2022-12-21 21:30:38+00:00|"1. j'ai réservé les lettres à milena de kafka (en anglais &lt;3)
2. j'ai repéré dans la même librairie the picture of dorian gray 
3. ils ont aussi des essais féministes 
4. ET EDGAR ALLAN POE"||0|0|0
1604404032537493504|https://twitter.com/berge93gbe/status/1604404032537493504|2022-12-18 09:11:44+00:00|"The Picture of Dorian Gray (Wisehouse Classics - with original illustrations by Eugene Dété) EKU9H4F

amazon.com/dp/B019AVKTPU?… https://t.co/aJkg75O4RK"||0|0|0
1604218041033805826|https://twitter.com/pytomlinson_/status/1604218041033805826|2022-12-17 20:52:40+00:00|@flowerythinggy j’adore le thriller ! mais sinon romance, policier aussi et même classique genre the picture of dorian gray etc||1|0|0
1603420307741614081|https://twitter.com/BelinEducation/status/1603420307741614081|2022-12-15 16:02:46+00:00|"✨📚Idée cadeaux 🤩
🇬🇧Plongez dans le roman fascinant d’Oscar Wilde en V.O., vous ne pourrez pas vous arrêter de lire ! 👉bit.ly/3uGgNgk
The Picture of Dorian Gray, dans la collection Not so classic👉bit.ly/3hkXMNo
 bit.ly/3HqmcQg"||0|0|0
1601339677100937217|https://twitter.com/Revizorsb/status/1601339677100937217|2022-12-09 22:15:05+00:00|Le Portrait de Dorian Gray (The Picture of Dorian Gray) est un drame fantastique américain écrit et réalisé par Albert Lewin, sorti en 1945. @sjmay92 @Orange_Cinema @AlbertGalera @dwinle @JuanFerrerVila @ClassicFilm2 @WorldCinemania @manuthebest58 @Tico_Romao https://t.co/CpmTrr6NFN||0|7|25
1600550404492005377|https://twitter.com/7grhms/status/1600550404492005377|2022-12-07 17:58:47+00:00|t'as jamais lu the picture of dorian gray et tu viens me parler... pourquoi faire||0|1|5
1600180617802833920|https://twitter.com/barrows73jnqh/status/1600180617802833920|2022-12-06 17:29:23+00:00|"The Picture of Dorian Gray (Wisehouse Classics - with original illustrations by Eugene Dété) I30RRKR

amazon.com/dp/B019AVKTPU?… https://t.co/cm8AheXr3a"||0|0|0
1598952851178340355|https://twitter.com/walshtarkov/status/1598952851178340355|2022-12-03 08:10:41+00:00|@emerosia jsp exactement quels genres tu préfères mais to kill a kingdom, loveless, the picture of dorian gray (ça te fais te la variété comme ça mdrr)||0|0|0
1598337423117004800|https://twitter.com/hammes91ote/status/1598337423117004800|2022-12-01 15:25:12+00:00|"The Picture of Dorian Gray (Wisehouse Classics - with original illustrations by Eugene Dété) 3GFVFPW

amazon.com/dp/B019AVKTPU?… https://t.co/OhRL9y8R5h"||0|0|0
1595870325580783616|https://twitter.com/Timothy22V/status/1595870325580783616|2022-11-24 20:01:50+00:00|"The Picture of Dorian Gray (Wisehouse Classics - with original illustrations by Eugene Dété) AHCQKMB

amazon.com/dp/B019AVKTPU?… https://t.co/9h9YKE66wf"||0|0|0
1594984268383408128|https://twitter.com/laurinedelta/status/1594984268383408128|2022-11-22 09:20:57+00:00|j’ai commencé à lire the picture of dorian of dorian gray and damn. logan roy’s voice hey are you queer ?||2|0|3
1594002866515021824|https://twitter.com/sudokuIover/status/1594002866515021824|2022-11-19 16:21:13+00:00|@tinysaruogi the picture of dorian gray gets a pass mais le reste ? cest pas nul mais c'est pas la folie non plus 😭💀||1|0|0
1591567084450123776|https://twitter.com/Axnid3/status/1591567084450123776|2022-11-12 23:02:17+00:00|Mon seul pb c que je pourrais parler de if we were villains et the picture of dorian gray sans arrêt en mélangeant mes idées et en bégayant psk je serai trop surexcité||0|0|1
1591414250647752705|https://twitter.com/strosinpqot/status/1591414250647752705|2022-11-12 12:54:59+00:00|"The Picture of Dorian Gray (Wisehouse Classics - with original illustrations by Eugene Dété) 4XJFGNA

amazon.com/dp/B019AVKTPU"||0|0|0
1583459167863726081|https://twitter.com/Nicozilla_FR/status/1583459167863726081|2022-10-21 14:04:19+00:00|21. **Tableau/Œuvre maudite** - The picture of Dorian Gray (1945 - Albert Lewin) https://t.co/xDDz2MnyG7||0|1|3
